1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
0,0,0.6404471,0,0.006985664,0,0.69485706,0,0,0,0,0,0,0,0,0.17744404,0.19858208,0.692934,0,0,0.11365558,0,0,0,0,0.35428467,0.3918816,0.35884467,0.08006275,0.080491036,0,0,0.15769917,0,0.09020649,0,0,0,0,0,0.5656098,0,0,0,0.5133649,0,0.3438032,0.043852404,0,0.31568632,0.113039106,0,0,0.33529228,0.40731105,0,0,0.09366174,0.27342916,0,0,0.26576662,0,0,0,0,0.38891152,0,0,0,0,0.13253397,0,0,0.20294699,0,0,0.7948912,0,0.9248735,0,0.28973287,0,0,0,0,0.052643724,0.5840968,0,0.45079032,0,0.782857,0,0.17058232,0.12640817,0.6780889,0,0,0,0,0,0.5776931,0,0,0,0,0.3082577,0,0.70957637,0,0,0,0,0.760183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.1102085,0,0,0,0,0,0,0,0,0,0,0.29364693,0.13977472,0.746112,0,0.48630014,0,0.41058522,0.18840936,0,0,0,0.24913998,0,0.37672454,0.6252223,0.047158048,0,0,0.18695246,0,0.13954695,0.394203,0.1023662,0,0,0,0.17240924,0,0.21468289,0,0.043647088,0,0,0.3850147,0.1364667,0.0832477,0,0.077039175,0,0,0,0.53658754,0,0.4189837,0,0,0.16170785,0,0.07959077,0.08313312,0,0.102973066,0,0.18517825,0.11644152,0,0.08757205,0.04046459,0.66215324,0,0,0,0.00576611,0,0.25302833,0.009552501,0.22631693,0,0.28216422,0,0,0.02689194,0.46119678,0,0.10218683,0,0.15545513,0,0.42458755,0,0.7236991,0,0.06395501,0.18661997,0,0,0,0,0.104862474,0.78909516,0.21260872,0,0,0,0,0.32419896,0,0,0,0.059150044,0.75506043,0,0,0,0.412871,0,0.023381578,0.3225069,0.060158692,0,0.17556956,0,0,0,0.21390419
0,0.12583622,0.72111106,0,0.3265747,0,0.22158042,0.11779027,0.014770959,0,0,0,0,0,0,0,0.07510106,0.1662545,0,0,0,0,0,0,0,0.03875509,0.17825158,0,0.067940444,0,0,0,0,0.26268047,0.29589695,0.044889577,0,0,0,0,0.56578976,0,0,0,0.12360746,0.033259958,0.4918641,0.24906021,0,0.16103104,0.2742592,0,0,0.17101061,0.29254147,0,0.015215494,0,0.21315376,0,0.26638395,0.26754045,0,0.16248408,0.17348,0,0.17472504,0.018623246,0.34150618,0,0,0.3218537,0.023212261,0.025838315,0.1617519,0,0,0.7127881,0.021202825,0.9208207,0,0.27299297,0.5894096,0,0,0.57688177,0.02234417,0.1292632,0,0.14766869,0,0.9510574,0,0.5408847,0.091342285,0.54837066,0,0,0,0,0,0.52028406,0.23301446,0,0,0,0.023386046,0,0.20575345,0,0,0,0.00683777,0.2329913,0,0,0,0,0.15009457,0.024483636,0,0.11633812,0,0,0,0,0,0
0,0,0.40578768,0,0.45292768,0,0,0.14173311,0,0,0,0,0,0,0,0,0.12656677,0,0,0,0.040410824,0,0,0,0.2907954,0.12285258,0.014983207,0,0,0,0,0.08558743,0.043312952,0.20937465,0.38237077,0,0,0,0,0,0.83941543,0,0,0,0.09868077,0,0.2991387,0.52582335,0,0.40179023,0.1957697,0,0,0.99459004,0.69355536,0,0.08839029,0.053831853,0.55470204,0,0.13857464,0.20428513,0,0,0.26337737,0,0,0.26200745,0.31097674,0,0,0.1579668,0,0.18352662,0.0493483,0,0,0.55959654,0.16379112,0.407159,0,0.17783816,0.60055816,0,0.09204942,0.32480395,0,0.43195707,0,0,0,0.80016625,0,0.42599058,0.254162,0.4123292,0,0,0,0,0,0.700477,0.0831271,0,0,0,0,0,0.4288039,0,0,0,0.24152935,0,0,0,0,0,0.025186922,0.18796198,0,0,0,0,0,0,0,0
0,0.06583681,0.5323302,0,0.32261342,0,0.18736543,0,0.36157486,0,0.029032774,0,0,0,0,0.17192459,0.14647585,0.06650585,0,0,0.05029702,0,0,0,0.05423686,0.07663992,0.15245622,0,0,0,0,0.059059367,0,0.20431265,0.35430187,0,0,0,0,0,0.77295315,0,0,0,0.048527457,0,0.7043718,0.10012387,0,0.13188955,0.5164368,0,0,0.5159528,0.49718496,0,0.10185131,0.18002148,0.18087868,0.04433363,0.39292854,0.35785753,0.008488998,0,0.1431004,0,0,0,0.46416324,0,0.1636232,0.1744298,0,0.05507702,0.14180923,0,0,0.6664852,0.06223988,0.72149086,0,0.42122197,0.32858574,0,0,0.6411061,0.036815636,0.08188493,0,0.03491193,0,0.71705145,0.09707787,0.5366315,0.34197322,0.44870654,0,0,0,0,0,0.31078768,0.027357977,0,0,0,0.18753427,0,0.33106217,0,0,0,0.047503658,0,0,0,0,0,0.24807815,0,0,0.01788731,0,0.1004381,0,0,0.07850589,0
0,0,0.71995443,0,0,0,0.13592088,0,0,0,0.16759771,0,0,0,0,0.4059066,0,0.42549062,0,0,0.25961643,0,0.15805072,0,0.10190512,0,0.271775,0.41582197,0,0,0,0.031712994,0.009390324,0,0.30113098,0,0,0.12976345,0,0,0.17160614,0,0.078173816,0,0.06997781,0,1.1137618,0.24855539,0,0,0.36133736,0,0,0.093839586,0.7509839,0,0.2863534,0,0,0.040626213,0.37380174,0.8347298,0.38771027,0,0,0,0.5462655,0.019470356,0.3348272,0,0.21937335,0.020266715,0,0.008127056,0,0,0,0.44496405,0.14914098,0,0,0.57046086,0.024360448,0,0.004348688,0.6374202,0,0,0,0.06584284,0,0.43641835,0.109579965,0.567637,0.2993083,0.48510534,0.13503966,0,0,0,0,0.46562204,0,0,0,0,0,0,0.40167603,0,0,0,0,0.5525503,0,0,0,0,0,0,0,0.32916844,0,0.58877385,0,0,0,0
0,0.07399238,0.74572814,0,0.2889511,0,0.29027396,0,0.2759676,0,0.15713261,0,0,0,0,0.47005996,0,0.21588142,0,0,0.045587182,0,0,0,0.23001829,0,0.4581965,0,0,0,0,0,0,0.18521084,0.14270782,0,0,0,0,0,0.6039714,0,0,0,0,0.008153424,0.7359848,0.14348537,0.005878825,0,0.3913144,0,0,0.07884571,0.25261465,0,0.20132206,0,0.029967505,0,0.3944949,0.42021418,0.21847911,0.0381798,0.13873592,0,0.019648843,0,0.34309727,0.046200514,0.22305515,0.8027538,0,0.17007878,0,0,0,0.6239668,0.06093308,0.7419841,0,0.20277765,0.18417044,0,0.12902594,0.57181567,0.06836991,0.16715904,0,0.04021232,0,0.6477564,0.06503771,0.65077525,0.2754889,0.26882666,0.12954316,0,0,0,0,0.081019655,0.2899925,0,0,0,0.20471598,0,0.33554608,0,0,0,0.09840264,0,0,0,0,0.14698541,0.015873857,0,0.03051072,0.080641255,0,0.19525903,0,0,0.114787385,0
0,0.021481723,0.56911945,0,0.1631397,0,0,0,0.204229,0,0.27785024,0,0,0,0,0.07664217,0.19523317,0.2735536,0,0,0,0,0,0,0.26951498,0.13287455,0.31716347,0,0,0,0,0.15739632,0,0.14347018,0.27178147,0,0,0,0,0,0.77517176,0,0,0,0.09001751,0,0.6998044,0.5437515,0,0.20747423,0.34834653,0,0,0.43646201,0.6227151,0,0.18124178,0.1429112,0.2225202,0,0.21083441,0.22683161,0.112813026,0,0.15645108,0,0.071984015,0,0.57821965,0.000171557,0.14719999,0.22060944,0,0.063624345,0.057079196,0.07060774,0,0.5431846,0.22371624,0.34637934,0,0.41252923,0.3732314,0,0.11414482,0.61958975,0.11494615,0.08249619,0,0,0,0.3662245,0.04429344,0.60282075,0.37446368,0.43235463,0.22016189,0,0,0,0,0.41943097,0.19475907,0,0,0,0.13836655,0,0.27096957,0,0,0,0.06377943,0,0,0,0,0,0.13927014,0.044423237,0.10396996,0.005275443,0,0.05157461,0.1395736,0,0.12534972,0.079107046
0,0.013665214,0.5882548,0,0.49858987,0,0.14146851,0.14583641,0.11635302,0,0,0,0,0,0,0.022838727,0,0,0,0,0.15754569,0,0,0,0,0,0.20238821,0,0,0,0,0.015153304,0,0.09004063,0.30753332,0,0,0,0,0,0.55890805,0,0,0,0.20501655,0,0.989882,0.08951685,0,0,0.5624503,0,0,0.17642596,0.5987869,0,0.050883636,0.09209685,0.2875809,0,0.40229765,0.61538255,0.038131505,0.10529674,0.11212702,0,0,0,0.5606039,0,0,0.34824657,0,0.22340336,0.087277986,0,0,0.839468,0.09637887,0.38311064,0,0.28320226,0.46384233,0,0,0.4683759,0,0.1788204,0,0,0,0.9864145,0.066935584,0.8060924,0.22206104,0.44553363,0.05852147,0,0,0,0,0.38528237,0,0,0,0,0.083168894,0,0.39594394,0,0,0,0.0661435,0.16388255,0,0,0,0,0.16556858,0,0,0.16264206,0,0.097566776,0,0,0,0
0,0.16588601,1.0642072,0,0.15833095,0,0.30436906,0,0.03697043,0,0,0,0,0,0,0.08617228,0,0.065158874,0,0,0,0,0,0,0,0,0.5692431,0,0,0,0,0,0,0.08160663,0.22249795,0,0,0,0,0,0.40774554,0,0,0,0,0,0.72778606,0.12437565,0,0,0.8563268,0,0,0.08207947,0.15917592,0,0,0,0.05924134,0,1.0309255,0.15440685,0.07864866,0,0.101167,0,0.05236286,0,0.4499793,0,0.25634137,0.8466538,0.07203281,0.054946035,0,0,0,0.70763385,0,0.8015569,0,0.08904637,0.3668402,0,0,0.53637797,0,0,0,0,0.20616697,0.4659042,0,0.59774727,0.384062,0.165921,0,0,0,0,0,0.28511518,0.6348703,0,0,0,0,0,0.5054899,0,0,0,0.3049569,0,0,0,0,0.16255657,0.15600969,0.01600951,0,0.040154025,0,0,0,0,0,0.058284424
